currency,avg_daily_return,std_daily_return,avg_rolling_volatility
LVL,0.004616788817906085,0.353707579734625,0.336024550442821
LYD,0.08537902701356076,4.3723530550626775,1.0358087216717378
MAD,-0.0016340712873458686,0.32419569286122873,0.301307218084389
MDL,0.003733406742204455,0.6188864253310419,0.5814746727944597
MGA,0.021982016627246328,0.8749889402823595,0.7732668760203951
MKD,0.0005607660464962409,0.4214845605218612,0.37096324326742175
MMK,0.056059432123390825,2.7736277806264544,1.2467660327900567
MNT,0.01969780248395641,0.7845672722412119,0.5588921821796767
MOP,-0.0042647077324938715,0.5030550815769474,0.4695692070886233
MRO,0.05758659106116442,0.4533703978414469,0.46271654379594146
MUR,0.010856265622839248,0.8016386326574267,0.7593434536436479
MVR,0.0039508643637747275,1.3457038080942405,0.903349026038083
MWK,0.047928859832837005,1.3360236073219336,0.7991473613121626
MXN,0.009646445674503778,0.7872318053341911,0.7259659652092638
MYR,0.00663167801350574,0.5815893610537063,0.5342905185275095
MZN,0.024902215641134918,1.0192056355685912,0.7679326781421418
NAD,0.016388905362497458,0.9540753723808029,0.9088166495801101
NGN,0.15949076024946493,2.4712407849728666,1.873320187734
NIO,0.00959367751243309,0.6900890839355152,0.615010248828631
NOK,0.012403706792430375,0.5683964118719746,0.5222297943594051
NPR,0.009526969594313582,0.7284548401606805,0.6194221774279257
NZD,-0.0008626127553498298,0.6297917626240319,0.5802088776770195
OMR,-0.003824424118551936,0.48497248876682986,0.4621464540391327
PAB,-0.0035526436102837912,0.500387454967525,0.47390481939249235
PEN,0.004748357794362512,0.6081705379801399,0.574706198269594
PGK,0.014054264442987985,0.6788592697577595,0.6384059971261198
PHP,0.004826080693600637,0.5029136979091253,0.4827890693927507
PKR,0.033330057031453246,0.7180677199357147,0.6386858489633195
PLN,0.00178571726728959,0.6883381132076583,0.41416472323654147
PYG,0.01582031801991673,0.6283462361229301,0.5859253341524577
QAR,-0.003572770325674636,0.5381805070274897,0.4923663650957119
RON,0.0003428233604948084,0.15186557213890367,0.11560227716763088
RSD,-0.000849407102795657,0.15519317620063555,0.12690712637854262
RUB,0.03001149691961588,1.6461408531381094,1.2187035649762525
RWF,0.024887862216079987,0.8829169873734525,0.7154178112865754
SAR,-0.0038460105586000056,0.47857838217755416,0.45436351317041207
SBD,0.0019041573296426856,0.6775374057431681,0.6454329929624087
