date,mean,mean_ci_lower,mean_ci_upper,currency
2025-05-05,7.831890193533649,7.351473150769518,8.31230723629778,CNY
2025-05-06,7.831890193533649,7.345656379771877,8.31812400729542,CNY
2025-05-07,7.831890193533649,7.339908376478991,8.323872010588307,CNY
2025-05-08,7.831890193533649,7.334226758088079,8.32955362897922,CNY
2025-05-09,7.831890193533649,7.328609276304938,8.33517111076236,CNY
2025-05-10,7.831890193533649,7.323053806947884,8.340726580119414,CNY
2025-05-11,7.831890193533649,7.317558340562493,8.346222046504804,CNY
2025-05-12,7.831890193533649,7.312120973929575,8.351659413137723,CNY
2025-05-13,7.831890193533649,7.3067399023646225,8.357040484702676,CNY
2025-05-14,7.831890193533649,7.3014134127203905,8.362366974346907,CNY
2025-05-15,7.831890193533649,7.296139877015699,8.367640510051599,CNY
2025-05-16,7.831890193533649,7.290917746623302,8.372862640443996,CNY
2025-05-17,7.831890193533649,7.285745546957989,8.37803484010931,CNY
2025-05-18,7.831890193533649,7.2806218726133025,8.383158514453996,CNY
2025-05-19,7.831890193533649,7.2755453829014085,8.388235004165889,CNY
2025-05-20,7.831890193533649,7.270514797756004,8.393265589311294,CNY
2025-05-21,7.831890193533649,7.265528893962789,8.398251493104508,CNY
2025-05-22,7.831890193533649,7.260586501686066,8.403193885381233,CNY
2025-05-23,7.831890193533649,7.25568650126349,8.408093885803808,CNY
2025-05-24,7.831890193533649,7.25082782024413,8.412952566823169,CNY
2025-05-25,7.831890193533649,7.246009430647605,8.417770956419695,CNY
2025-05-26,7.831890193533649,7.241230346424487,8.422550040642811,CNY
2025-05-27,7.831890193533649,7.236489621100179,8.427290765967118,CNY
2025-05-28,7.831890193533649,7.231786345586322,8.431994041480976,CNY
2025-05-29,7.831890193533649,7.2271196461454075,8.43666074092189,CNY
2025-05-30,7.831890193533649,7.222488682495681,8.441291704571617,CNY
2025-05-31,7.831890193533649,7.2178926460447,8.445887741022599,CNY
2025-06-01,7.831890193533649,7.2133307582410255,8.450449628826272,CNY
2025-06-02,7.831890193533649,7.208802269034535,8.454978118032763,CNY
2025-06-03,7.831890193533649,7.204306455436733,8.459473931630566,CNY
2025-06-04,7.831890193533649,7.1998426201732375,8.46393776689406,CNY
2025-06-05,7.831890193533649,7.195410090421329,8.468370296645968,CNY
2025-06-06,7.831890193533649,7.19100821662608,8.47277217044122,CNY
2025-06-07,7.831890193533649,7.186636371389185,8.477144015678114,CNY
2025-06-08,7.831890193533649,7.182293948425102,8.481486438642197,CNY
2025-06-09,7.831890193533649,7.177980361579571,8.485800025487727,CNY
2025-06-10,7.831890193533649,7.1736950439060525,8.490085343161246,CNY
2025-06-11,7.831890193533649,7.169437446795906,8.494342940271391,CNY
2025-06-12,7.831890193533649,7.1652070391586005,8.498573347908698,CNY
2025-06-13,7.831890193533649,7.161003306648423,8.502777080418875,CNY
2025-06-14,7.831890193533649,7.156825750934548,8.50695463613275,CNY
